"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 05- 24","231.13","231.13","231.13","231.13","","-1.11%"
"2022- 05- 23","233.72","233.72","233.72","233.72","","1.25%"
"2022- 05- 20","230.83","230.83","230.83","230.83","","0.54%"
"2022- 05- 19","229.59","229.59","229.59","229.59","","-1.00%"
"2022- 05- 18","231.90","231.90","231.90","231.90","","-0.58%"
"2022- 05- 17","233.25","233.25","233.25","233.25","","0.65%"
"2022- 05- 16","231.75","231.75","231.75","231.75","","0.38%"
"2022- 05- 13","230.87","230.87","230.87","230.87","","1.72%"
"2022- 05- 12","226.97","226.97","226.97","226.97","","-0.82%"
"2022- 05- 11","228.84","228.84","228.84","228.84","","1.56%"
"2022- 05- 10","225.32","225.32","225.32","225.32","","0.89%"
"2022- 05- 09","223.34","223.34","223.34","223.34","","-1.47%"
"2022- 05- 06","226.68","226.68","226.68","226.68","","-1.19%"
"2022- 05- 05","229.42","229.42","229.42","229.42","","-0.62%"
"2022- 05- 04","230.85","230.85","230.85","230.85","","-0.60%"
"2022- 05- 03","232.25","232.25","232.25","232.25","","1.28%"
"2022- 05- 02","229.32","229.32","229.32","229.32","","-0.99%"
"2022- 04- 29","231.61","231.61","231.61","231.61","","-0.14%"
"2022- 04- 28","231.94","231.94","231.94","231.94","","0.83%"
"2022- 04- 27","230.02","230.02","230.02","230.02","","0.29%"
"2022- 04- 26","229.35","229.35","229.35","229.35","","-0.48%"
"2022- 04- 25","230.45","230.45","230.45","230.45","","-0.73%"
"2022- 04- 22","232.14","232.14","232.14","232.14","","-1.30%"
"2022- 04- 21","235.20","235.20","235.20","235.20","","0.23%"
"2022- 04- 20","234.65","234.65","234.65","234.65","","1.37%"
"2022- 04- 19","231.48","231.48","231.48","231.48","","-0.21%"
"2022- 04- 14","231.97","231.97","231.97","231.97","","0.82%"
"2022- 04- 13","230.09","230.09","230.09","230.09","","-0.23%"
"2022- 04- 12","230.63","230.63","230.63","230.63","","-0.59%"
"2022- 04- 11","231.99","231.99","231.99","231.99","","-0.31%"
"2022- 04- 08","232.70","232.70","232.70","232.70","","1.76%"
"2022- 04- 07","228.67","228.67","228.67","228.67","","-0.14%"
"2022- 04- 06","229.00","229.00","229.00","229.00","","-0.70%"
"2022- 04- 05","230.61","230.61","230.61","230.61","","-0.32%"
"2022- 04- 04","231.35","231.35","231.35","231.35","","-0.29%"
"2022- 04- 01","232.02","232.02","232.02","232.02","","0.39%"
"2022- 03- 31","231.12","231.12","231.12","231.12","","-0.67%"
"2022- 03- 30","232.68","232.68","232.68","232.68","","-0.68%"
"2022- 03- 29","234.28","234.28","234.28","234.28","","1.70%"
"2022- 03- 28","230.37","230.37","230.37","230.37","","0.70%"
"2022- 03- 25","228.77","228.77","228.77","228.77","","0.47%"
"2022- 03- 24","227.71","227.71","227.71","227.71","","-0.02%"
"2022- 03- 23","227.76","227.76","227.76","227.76","","-1.28%"
"2022- 03- 22","230.72","230.72","230.72","230.72","","0.66%"
"2022- 03- 21","229.20","229.20","229.20","229.20","","-0.24%"
"2022- 03- 18","229.74","229.74","229.74","229.74","","-0.36%"
