"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 06- 21","104.43","104.44","104.54","103.94","","-0.25%"
"2022- 06- 20","104.70","104.65","104.82","104.23","","0.00%"
"2022- 06- 17","104.70","103.88","105.08","103.83","","1.03%"
"2022- 06- 16","103.63","104.90","105.49","103.42","","-1.45%"
"2022- 06- 15","105.16","105.35","105.79","104.66","","-0.34%"
"2022- 06- 14","105.52","105.19","105.65","104.62","","0.42%"
"2022- 06- 13","105.08","104.19","105.29","104.21","","0.89%"
"2022- 06- 10","104.15","103.34","104.23","103.05","","0.90%"
"2022- 06- 09","103.22","102.56","103.37","102.15","","0.66%"
"2022- 06- 08","102.54","102.39","102.78","102.27","","0.22%"
"2022- 06- 07","102.32","102.49","102.84","102.26","","-0.12%"
"2022- 06- 06","102.44","102.17","102.47","101.85","","0.29%"
"2022- 06- 03","102.14","101.75","102.22","101.64","","0.31%"
"2022- 06- 02","101.82","102.55","102.62","101.74","","-0.66%"
"2022- 06- 01","102.50","101.76","102.73","101.74","","0.73%"
"2022- 05- 31","101.75","101.43","102.17","101.41","","0.08%"
"2022- 05- 30","101.67","101.64","101.72","101.30","","0.00%"
"2022- 05- 27","101.67","101.72","101.94","101.43","","-0.16%"
"2022- 05- 26","101.83","102.02","102.27","101.74","","-0.22%"
"2022- 05- 25","102.06","101.77","102.45","101.73","","0.20%"
"2022- 05- 24","101.86","102.11","102.32","101.65","","-0.21%"
"2022- 05- 23","102.08","103.03","103.05","102.04","","-1.04%"
"2022- 05- 20","103.15","102.90","103.26","102.77","","0.41%"
"2022- 05- 19","102.72","103.83","103.88","102.66","","-1.05%"
"2022- 05- 18","103.81","103.34","103.93","103.19","","0.44%"
"2022- 05- 17","103.36","104.17","104.23","103.23","","-0.79%"
"2022- 05- 16","104.19","104.46","104.64","104.14","","-0.36%"
"2022- 05- 13","104.56","104.77","105.00","104.46","","-0.27%"
"2022- 05- 12","104.85","104.01","104.93","103.88","","0.97%"
"2022- 05- 11","103.85","103.90","104.11","103.37","","-0.07%"
"2022- 05- 10","103.92","103.73","103.98","103.50","","0.26%"
"2022- 05- 09","103.65","103.66","104.19","103.39","","-0.01%"
"2022- 05- 06","103.66","103.56","104.06","103.19","","-0.09%"
"2022- 05- 05","103.75","102.68","103.94","102.35","","1.14%"
"2022- 05- 04","102.59","103.46","103.61","102.46","","-0.85%"
"2022- 05- 03","103.46","103.60","103.67","103.03","","-0.27%"
"2022- 05- 02","103.74","103.21","103.75","103.11","","0.76%"
"2022- 04- 29","102.96","103.67","103.67","102.82","","-0.64%"
"2022- 04- 28","103.62","103.04","103.93","102.98","","0.65%"
"2022- 04- 27","102.95","102.28","103.28","102.22","","0.64%"
"2022- 04- 26","102.30","101.73","102.36","101.51","","0.54%"
"2022- 04- 25","101.75","101.12","101.86","101.04","","0.53%"
"2022- 04- 22","101.22","100.62","101.33","100.47","","0.64%"
"2022- 04- 21","100.58","100.35","100.64","99.82","","0.19%"
"2022- 04- 20","100.39","100.98","101.04","100.22","","-0.57%"
"2022- 04- 19","100.96","100.83","101.03","100.70","","0.18%"
"2022- 04- 18","100.78","100.50","100.86","100.46","","0.46%"
"2022- 04- 15","100.32","100.42","100.57","100.32","","0.00%"
"2022- 04- 14","100.32","99.79","100.76","99.57","","0.45%"
"2022- 04- 13","99.88","100.34","100.52","99.83","","-0.42%"
"2022- 04- 12","100.29","100.04","100.33","99.74","","0.36%"
"2022- 04- 11","99.93","99.84","100.05","99.61","","0.14%"
"2022- 04- 08","99.80","99.82","100.19","99.74","","0.05%"
"2022- 04- 07","99.75","99.65","99.83","99.40","","0.15%"
"2022- 04- 06","99.60","99.47","99.77","99.31","","0.13%"
"2022- 04- 05","99.47","99.00","99.52","98.84","","0.48%"
"2022- 04- 04","99.00","98.57","99.08","98.52","","0.37%"
"2022- 04- 01","98.63","98.33","98.74","98.31","","0.33%"
"2022- 03- 31","98.31","97.83","98.40","97.69","","0.53%"
"2022- 03- 30","97.79","98.37","98.43","97.68","","-0.62%"
"2022- 03- 29","98.40","99.08","99.29","98.04","","-0.69%"
"2022- 03- 28","99.09","98.81","99.37","98.80","","0.31%"
"2022- 03- 25","98.79","98.75","98.83","98.40","","0.00%"
"2022- 03- 24","98.79","98.64","98.96","98.60","","0.17%"
"2022- 03- 23","98.62","98.47","98.88","98.39","","0.13%"
"2022- 03- 22","98.49","98.49","98.96","98.32","","-0.01%"
"2022- 03- 21","98.50","98.24","98.53","98.16","","0.27%"
"2022- 03- 18","98.23","98.00","98.62","97.84","","0.26%"
"2022- 03- 17","97.97","98.50","98.51","97.73","","-0.65%"
"2022- 03- 16","98.62","98.89","99.08","98.29","","-0.48%"
"2022- 03- 15","99.10","99.13","99.20","98.64","","0.10%"
"2022- 03- 14","99.00","99.13","99.29","98.68","","-0.13%"
"2022- 03- 11","99.12","98.36","99.16","98.27","","0.63%"
