"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 10- 22","1,488.05","1,484.66","1,489.17","1,480.84","","0.24%"
"2019- 10- 21","1,484.50","1,492.02","1,495.31","1,481.75","","-0.38%"
"2019- 10- 18","1,490.10","1,492.32","1,494.33","1,484.80","","-0.12%"
"2019- 10- 17","1,491.89","1,490.40","1,497.43","1,483.35","","0.14%"
"2019- 10- 16","1,489.77","1,481.28","1,491.60","1,477.05","","0.58%"
"2019- 10- 15","1,481.17","1,493.25","1,497.99","1,477.46","","-0.79%"
"2019- 10- 14","1,492.90","1,488.60","1,497.10","1,482.60","","0.20%"
"2019- 10- 11","1,489.85","1,494.46","1,503.49","1,474.30","","-0.30%"
"2019- 10- 10","1,494.30","1,505.60","1,517.07","1,491.40","","-0.76%"
"2019- 10- 09","1,505.70","1,506.06","1,511.60","1,499.70","","0.01%"
"2019- 10- 08","1,505.51","1,493.40","1,508.56","1,487.49","","0.80%"
"2019- 10- 07","1,493.60","1,504.76","1,509.47","1,489.94","","-0.73%"
"2019- 10- 04","1,504.60","1,505.19","1,510.94","1,497.01","","-0.03%"
